typ,nyckel,namn
kommunvk,01801703,1 Södermalm-Enskede
kommunvk,01801704,1 Södermalm-Enskede
kommunvk,01801705,1 Södermalm-Enskede
kommunvk,01801706,1 Södermalm-Enskede
kommunvk,01801707,1 Södermalm-Enskede
kommunvk,01801708,1 Södermalm-Enskede
kommunvk,01801709,1 Södermalm-Enskede
kommunvk,01801710,1 Södermalm-Enskede
kommunvk,01801711,1 Södermalm-Enskede
kommunvk,01801712,1 Södermalm-Enskede
kommunvk,01801713,1 Södermalm-Enskede
kommunvk,01801714,1 Södermalm-Enskede
kommunvk,01801715,1 Södermalm-Enskede
kommunvk,01801716,1 Södermalm-Enskede
kommunvk,01801717,1 Södermalm-Enskede
kommunvk,01801718,1 Södermalm-Enskede
kommunvk,01801719,1 Södermalm-Enskede
kommunvk,01801720,1 Södermalm-Enskede
kommunvk,01801721,1 Södermalm-Enskede
kommunvk,01801722,1 Södermalm-Enskede
kommunvk,01801723,1 Södermalm-Enskede
kommunvk,01801724,1 Södermalm-Enskede
kommunvk,01801801,2 Bromma-Kungsholmen
kommunvk,01801802,2 Bromma-Kungsholmen
kommunvk,01801803,2 Bromma-Kungsholmen
kommunvk,01801804,2 Bromma-Kungsholmen
kommunvk,01801805,2 Bromma-Kungsholmen
kommunvk,01801806,2 Bromma-Kungsholmen
kommunvk,01801807,2 Bromma-Kungsholmen
kommunvk,01801808,2 Bromma-Kungsholmen
kommunvk,01801809,2 Bromma-Kungsholmen
kommunvk,01801810,2 Bromma-Kungsholmen
kommunvk,01801811,2 Bromma-Kungsholmen
kommunvk,01801812,2 Bromma-Kungsholmen
kommunvk,01801813,2 Bromma-Kungsholmen
kommunvk,01801901,2 Bromma-Kungsholmen
kommunvk,01801902,2 Bromma-Kungsholmen
kommunvk,01801903,2 Bromma-Kungsholmen
kommunvk,01801904,2 Bromma-Kungsholmen
kommunvk,01801905,2 Bromma-Kungsholmen
kommunvk,01801906,2 Bromma-Kungsholmen
kommunvk,01801907,2 Bromma-Kungsholmen
kommunvk,01801908,2 Bromma-Kungsholmen
kommunvk,01801909,2 Bromma-Kungsholmen
kommunvk,01801910,2 Bromma-Kungsholmen
kommunvk,01801911,2 Bromma-Kungsholmen
kommunvk,01801912,2 Bromma-Kungsholmen
kommunvk,01801913,2 Bromma-Kungsholmen
kommunvk,01801914,2 Bromma-Kungsholmen
kommunvk,01801915,2 Bromma-Kungsholmen
kommunvk,01801916,2 Bromma-Kungsholmen
kommunvk,01801917,2 Bromma-Kungsholmen
kommunvk,01801918,2 Bromma-Kungsholmen
kommunvk,01801919,2 Bromma-Kungsholmen
kommunvk,01801920,2 Bromma-Kungsholmen
kommunvk,01801921,2 Bromma-Kungsholmen
kommunvk,01801922,2 Bromma-Kungsholmen
kommunvk,01801923,2 Bromma-Kungsholmen
kommunvk,01801924,2 Bromma-Kungsholmen
kommunvk,01801925,2 Bromma-Kungsholmen
