niva,kod,namn,val,parti,andel
kommun,0882,,KF,KUSTLANDSPARTIET,4.45
kommun,0882,,KF,L,2.41
kommun,0882,,KF,M,19.52
kommun,0882,,KF,S,32.19
kommun,0882,,KF,SD,22.83
kommun,0882,,KF,V,7.27
kommun,0883,,KF,C,7.27
kommun,0883,,KF,KD,4.89
kommun,0883,,KF,L,3.08
kommun,0883,,KF,M,23.36
kommun,0883,,KF,MP,2.33
kommun,0883,,KF,S,32.02
kommun,0883,,KF,SD,15.05
kommun,0883,,KF,Socialisterna-Välfärdspartiet,3.58
kommun,0883,,KF,V,4.58
kommun,0883,,KF,Westerwikspartiet,3.19
kommun,0884,,KF,C,15.64
kommun,0884,,KF,KD,9.64
kommun,0884,,KF,Landsbygdspartiet Oberoende,1.38
kommun,0884,,KF,M,19.9
kommun,0884,,KF,MP,1.58
kommun,0884,,KF,S,26.51
kommun,0884,,KF,SD,13.94
kommun,0884,,KF,V,10.9
kommun,0885,,KF,C,9.31
kommun,0885,,KF,Framtid Öland,7.49
kommun,0885,,KF,KD,4.14
kommun,0885,,KF,L,1.14
kommun,0885,,KF,M,15.58
kommun,0885,,KF,S,43.33
kommun,0885,,KF,SD,12.01
kommun,0885,,KF,V,4.17
kommun,0885,,KF,Ölandspartiet,1.73
kommun,0980,,KF,C,18.54
kommun,0980,,KF,KD,2.93
kommun,0980,,KF,L,2.59
kommun,0980,,KF,M,18.1
kommun,0980,,KF,MP,5.37
kommun,0980,,KF,S,31.25
kommun,0980,,KF,SD,10.52
kommun,0980,,KF,Socialisterna-Välfärdspartiet,1.08
kommun,0980,,KF,V,8.75
kommun,1060,,KF,C,11.56
