kommunkod,syssgrad,arbloshet,arbloshet_ung,langtidsarbl,medianink,lag_ekstand,ekbistand,gini,hyresratt,trangbodd,brott,tathet,tatortsgrad,utrikesfodda,medelalder,ensamhushall,valdeltagande
1492,79.7,7.349081,6.909144,5.274058,343600.0,21.0,5.869352,0.273,35.937018,12.716237,8380.20705,25.61021248,80.0,15.627046,46.1,50.364601,85.0
1493,84.0,3.404444,3.499782,2.423331,365200.0,14.0,2.325581,0.291,28.047932,8.913878,12058.75815,41.04083665,78.0,12.455588,45.2,47.254755,87.0
1494,85.5,3.061118,3.046502,2.227648,373900.0,13.0,2.123242,0.298,32.861691,11.293406,9127.87176,57.91583166,78.0,11.209432,43.8,47.063693,88.0
1495,82.3,4.19244,2.789586,2.904701,364500.0,16.0,3.604372,0.302,37.241966,16.93013,11246.56547,43.7163061,76.0,16.795521,43.3,48.348179,86.0
1496,82.8,3.549252,2.307692,2.514817,380600.0,13.0,1.564485,0.282,44.221775,8.890392,10753.06388,84.63993587,87.0,16.530637,40.9,49.664768,86.0
1497,84.8,3.098317,2.498899,2.122484,365500.0,14.0,2.445094,0.29,33.799689,10.098907,7479.97402,31.08440225,71.0,8.785027,45.3,45.656109,88.0
1498,84.4,2.689445,3.723849,2.084187,365400.0,16.0,2.897422,0.254,26.074723,10.924646,7886.53366,24.76059927,71.0,11.200249,44.2,46.554264,88.0
1499,82.5,4.954955,4.686567,3.960649,356300.0,20.0,4.053891,0.304,39.480198,20.515716,9975.64715,31.84280546,75.0,15.259233,42.5,46.472756,86.0
1715,85.0,3.783287,4.752604,3.130358,371800.0,13.0,3.450268,0.262,27.925674,11.53169,6565.21918,33.72991605,75.0,8.047875,43.8,43.262283,89.0
1730,80.1,4.136126,4.321465,3.255694,353900.0,22.0,2.870533,0.316,31.914399,22.711631,9468.42878,10.3516387,56.0,28.037493,45.0,48.489243,82.0
1737,83.9,3.31165,4.109347,2.638515,354100.0,18.0,3.154851,0.286,36.015048,13.899011,8206.96586,2.75619495,47.0,13.92516,47.6,52.69884,84.0
1760,80.0,5.707347,5.045872,4.050871,354900.0,16.0,3.426069,0.29,29.789227,5.191874,7203.06513,10.07862759,58.0,14.580113,48.0,45.225603,86.0
1761,88.5,2.437167,3.712809,2.061067,426000.0,9.0,1.920333,0.256,16.703911,12.646432,3989.87643,282.00168209,95.0,7.508918,41.0,39.802173,92.0
1762,79.0,5.91567,5.417957,4.098156,342600.0,21.0,3.539584,0.245,29.906124,10.363392,6367.70085,25.9923718,78.0,15.64442,46.9,55.076923,85.0
1763,83.9,4.134121,5.446787,3.328696,361600.0,14.0,3.783037,0.235,27.208481,14.164306,5106.97032,33.33429072,82.0,8.982553,43.2,43.654434,88.0
1764,80.7,5.316518,6.329562,4.477463,352000.0,18.0,3.448655,0.263,32.208395,11.289487,8386.45856,23.52865055,72.0,11.916529,45.5,48.241093,85.0
1765,84.2,2.654091,2.907986,2.410966,363500.0,18.0,3.84305,0.308,30.11375,17.432735,5197.42143,7.05371523,47.0,21.989106,45.0,49.235221,84.0
1766,84.0,3.1321,2.782415,2.586018,356400.0,17.0,3.003428,0.279,28.519856,15.757238,6506.55511,10.36894983,49.0,10.50082,45.5,48.256965,87.0
1780,81.1,4.551004,3.731737,3.649655,359100.0,15.0,3.435407,0.294,46.403227,9.853003,9440.57037,81.65067737,90.0,14.603073,41.7,53.182227,87.0
1781,79.0,5.916429,5.804929,4.611542,347300.0,19.0,5.0264,0.291,33.779472,12.083535,11289.2507,31.90694965,84.0,13.886002,46.0,51.3009,86.0
1782,73.6,8.283169,5.840095,5.309342,326800.0,25.0,9.229278,0.295,28.92057,21.38522,11159.37831,6.78148406,75.0,18.002908,46.1,55.856024,81.0
1783,79.0,3.943315,3.925319,3.243412,345600.0,20.0,3.201312,0.291,21.633725,12.944394,8642.29539,6.33318715,64.0,16.472517,48.5,51.381579,83.0
1784,83.5,3.185871,3.58348,2.491325,363400.0,17.0,3.004026,0.283,37.684425,11.229485,8718.02809,15.67878325,65.0,12.596779,45.4,51.32218,86.0
1785,78.3,6.557377,6.387156,5.589491,337900.0,21.0,6.068757,0.297,33.30943,19.712947,10222.59938,12.60582639,65.0,14.243538,46.4,48.873484,86.0
